id_vehiculo,tipo,capacidad_kg,velocidad_promedio,bodega_base,costo_hora
V001,Automovil,200,40,Medellin,19000
V002,Motocicleta,50,45,Medellin,16000
V003,Automovil,200,40,Medellin,19000
V004,Camioneta,500,35,Medellin,25000
V005,Camioneta,500,35,Medellin,25000
V006,Bus,2000,25,Medellin,55000
V007,Camioneta,500,35,Medellin,25000
V008,Camioneta,500,35,Medellin,25000
V009,Bus,2000,25,Medellin,55000
V010,Camioneta,500,35,Medellin,25000
V012,Camion,1500,30,Medellin,45000
V013,Automovil,200,40,Medellin,19000
V016,Automovil,200,40,Medellin,19000
V018,Bus,2000,25,Medellin,55000
V019,Bus,2000,25,Medellin,55000
V021,Camioneta,500,35,Medellin,25000
V022,Bus,2000,25,Medellin,55000
V024,Camion,1500,30,Medellin,45000
V025,Camion,1500,30,Medellin,45000
V028,Automovil,200,40,Medellin,19000
V029,Automovil,200,40,Medellin,19000
V032,Camion,1500,30,Medellin,45000
V033,Camion,1500,30,Medellin,45000
V034,Camioneta,500,35,Medellin,25000
V035,Camioneta,500,35,Medellin,25000
V036,Camioneta,500,35,Medellin,25000
V038,Camioneta,500,35,Medellin,25000
V039,Bus,2000,25,Medellin,55000
V042,Automovil,200,40,Medellin,19000
V044,Camion,1500,30,Medellin,45000
V045,Camioneta,500,35,Medellin,25000
V047,Automovil,200,40,Medellin,19000
V048,Automovil,200,40,Medellin,19000
V049,Automovil,200,40,Medellin,19000
V051,Automovil,200,40,Cali,19000
V052,Motocicleta,50,45,Cali,16000
V053,Camioneta,500,35,Cali,25000
V054,Automovil,200,40,Cali,19000
V055,Camioneta,500,35,Cali,25000
V056,Camioneta,500,35,Cali,25000
V057,Bus,2000,25,Cali,55000
V058,Motocicleta,50,45,Cali,16000
V059,Camioneta,500,35,Cali,25000
V060,Camioneta,500,35,Cali,25000
V061,Camion,1500,30,Cali,45000
V062,Motocicleta,50,45,Cali,16000
V063,Camioneta,500,35,Cali,25000
V064,Automovil,200,40,Cali,19000
V065,Camioneta,500,35,Cali,25000
V066,Motocicleta,50,45,Cali,16000
V067,Automovil,200,40,Cali,19000
V069,Motocicleta,50,45,Cali,16000
V071,Automovil,200,40,Cali,19000
V073,Camioneta,500,35,Cali,25000
V074,Bus,2000,25,Cali,55000
V075,Motocicleta,50,45,Cali,16000
V076,Automovil,200,40,Cali,19000
V077,Motocicleta,50,45,Cali,16000
V079,Camioneta,500,35,Cali,25000
V080,Camioneta,500,35,Cali,25000
V082,Automovil,200,40,Cali,19000
V083,Camion,1500,30,Cali,45000
V084,Automovil,200,40,Cali,19000
V085,Automovil,200,40,Cali,19000
